Ml_num,Ml_num,predict,actual,diff,diff_perc
S6118976,S6118976,711423.94,680000,31423.9375,0.0462
E7403936,E7403936,1086224.8,1423000,-336775.25,0.2367
W8023436,W8023436,938713.56,975000,-36286.4375,0.0372
W8025276,W8025276,892702.44,875000,17702.4375,0.0202
N8021502,N8021502,1980989.2,2481000,-500010.75,0.2015
C8010148,C8010148,1578690.2,1633000,-54309.75,0.0333
W7384182,W7384182,794312.7,778500,15812.6875,0.0203
E7402004,E7402004,2041049.1,1990000,51049.125,0.0257
X7289718,X7289718,688250.7,657000,31250.6875,0.0476
W8023302,W8023302,889930.2,999999,-110068.8125,0.1101
W8022832,W8022832,1254049.9,1275000,-20950.125,0.0164
W8021586,W8021586,878424.94,910000,-31575.0625,0.0347
W8021478,W8021478,1108204.2,1185000,-76795.75,0.0648
W8021300,W8021300,781921.56,807500,-25578.4375,0.0317
W8019998,W8019998,1185139.0,1260000,-74861.0,0.0594
W8017896,W8017896,1375491.9,1410000,-34508.125,0.0245
W8017250,W8017250,1175731.9,1165000,10731.875,0.0092
W8016406,W8016406,1292995.0,1623000,-330005.0,0.2033
W8013086,W8013086,1091217.4,1008000,83217.375,0.0826
W7381830,W7381830,1178752.9,1190000,-11247.125,0.0095
W7375088,W7375088,2246174.8,2175000,71174.75,0.0327
W7342418,W7342418,1479305.8,1450000,29305.75,0.0202
W7312922,W7312922,1238631.5,1415000,-176368.5,0.1246
W7292226,W7292226,1106961.2,1085000,21961.25,0.0202
W7266712,W7266712,5877018.0,5750000,127018.0,0.0221
W5839376,W5839376,3606780.2,2500000,1106780.25,0.4427
S7364690,S7364690,1225763.8,1230000,-4236.25,0.0034
S6673888,S6673888,490475.47,380000,110475.46875,0.2907
E8011974,E8011974,1442095.6,1434999,7096.625,0.0049
W8020804,W8020804,901477.94,885000,16477.9375,0.0186
E7401890,E7401890,1374570.1,1395000,-20429.875,0.0146
W7331544,W7331544,967969.8,960000,7969.8125,0.0083
W6804124,W6804124,926360.5,927500,-1139.5,0.0012
W7398884,W7398884,2644350.5,2500000,144350.5,0.0577
E7217304,E7217304,817696.4,775000,42696.375,0.0551
S7323928,S7323928,735039.0,728000,7039.0,0.0097
W8021588,W8021588,982087.9,1160000,-177912.125,0.1534
W8018862,W8018862,986632.94,985000,1632.9375,0.0017
W8011558,W8011558,3451906.2,3310000,141906.25,0.0429
W8009768,W8009768,971908.5,970000,1908.5,0.002
W7404762,W7404762,3391343.5,3235000,156343.5,0.0483
W7388680,W7388680,820734.0,780000,40734.0,0.0522
W7374792,W7374792,1291568.8,1250000,41568.75,0.0333
W7358562,W7358562,1140448.9,1065000,75448.875,0.0708
W7329598,W7329598,2245880.5,2200000,45880.5,0.0209
S7381852,S7381852,802633.06,775000,27633.0625,0.0357
S7277166,S7277166,671055.4,670000,1055.375,0.0016
S7265298,S7265298,641552.8,603000,38552.8125,0.0639
N8023592,N8023592,1085046.9,1108000,-22953.125,0.0207
N7393642,N7393642,716640.94,740000,-23359.0625,0.0316
N7382240,N7382240,1124834.9,1060000,64834.875,0.0612
N7370484,N7370484,75082.945,79500,-4417.0546875,0.0556
E8019810,E8019810,798017.3,910000,-111982.6875,0.1231
E8019580,E8019580,893942.5,1085000,-191057.5,0.1761
E8011426,E8011426,856596.0,925800,-69204.0,0.0748
C6782208,C6782208,1580772.0,1468000,112772.0,0.0768
W8026700,W8026700,1092185.9,1090000,2185.875,0.002
N7390496,N7390496,981383.44,1020000,-38616.5625,0.0379
E7334910,E7334910,871379.6,850000,21379.625,0.0252
E7284110,E7284110,3178737.8,2990000,188737.75,0.0631
W7350200,W7350200,1082455.2,1060000,22455.25,0.0212
W8017654,W8017654,695910.56,900000,-204089.4375,0.2268
W7310154,W7310154,1480684.1,1450000,30684.125,0.0212
C8018668,C8018668,2491847.0,2300000,191847.0,0.0834
S7216256,S7216256,552827.5,500000,52827.5,0.1057
C8018062,C8018062,998286.9,1218000,-219713.125,0.1804
N7380984,N7380984,981640.3,950000,31640.3125,0.0333
E8014034,E8014034,984774.75,1080000,-95225.25,0.0882
N8013924,N8013924,990866.94,1130000,-139133.0625,0.1231
W7405516,W7405516,1138082.9,1136000,2082.875,0.0018
W7395002,W7395002,1069762.1,1018888,50874.125,0.0499
E8019442,E8019442,1317174.9,1345000,-27825.125,0.0207
W7357594,W7357594,625429.1,585000,40429.125,0.0691
N7353408,N7353408,1631123.4,1600000,31123.375,0.0195
N7359736,N7359736,2799576.0,2750000,49576.0,0.018
C7318282,C7318282,1772867.5,1729000,43867.5,0.0254
W8017036,W8017036,923792.3,930000,-6207.6875,0.0067
E8030586,E8030586,948697.3,965000,-16302.6875,0.0169
W8021576,W8021576,896253.7,882500,13753.6875,0.0156
E7376176,E7376176,680730.06,605000,75730.0625,0.1252
W7287728,W7287728,1340175.8,1375000,-34824.25,0.0253
W7363680,W7363680,3237982.8,2737000,500982.75,0.183
W8022116,W8022116,1085504.5,1099000,-13495.5,0.0123
N7350414,N7350414,1335342.4,1325000,10342.375,0.0078
W8022814,W8022814,1489286.9,1555000,-65713.125,0.0423
E7304278,E7304278,975729.2,985000,-9270.8125,0.0094
W8022752,W8022752,1212203.6,1276000,-63796.375,0.05
N8014010,N8014010,1680706.5,1888000,-207293.5,0.1098
W8008728,W8008728,964543.94,909999,54544.9375,0.0599
N7368228,N7368228,2331710.0,2435000,-103290.0,0.0424
C8016536,C8016536,1239987.4,1225000,14987.375,0.0122
S7294948,S7294948,829098.25,840000,-10901.75,0.013
N8024944,N8024944,1072276.2,1065888,6388.25,0.006
W8014472,W8014472,1041086.3,1050000,-8913.6875,0.0085
N8024924,N8024924,1277843.0,1255000,22843.0,0.0182
W8016856,W8016856,790828.6,785000,5828.625,0.0074
W7396770,W7396770,1236472.1,1212000,24472.125,0.0202
N7323916,N7323916,1275804.9,1295000,-19195.125,0.0148
W7357590,W7357590,1549174.4,1510000,39174.375,0.0259
E8019040,E8019040,703145.25,751000,-47854.75,0.0637
W8023956,W8023956,897808.25,887000,10808.25,0.0122
S8015860,S8015860,680669.3,660000,20669.3125,0.0313
W7400164,W7400164,1063289.9,1040000,23289.875,0.0224
W8023270,W8023270,1741157.6,1803000,-61842.375,0.0343
W8025318,W8025318,980802.75,1022000,-41197.25,0.0403
W7394378,W7394378,1467925.2,1400000,67925.25,0.0485
W8022230,W8022230,988566.3,1200000,-211433.6875,0.1762
W8020550,W8020550,894330.1,999999,-105668.875,0.1057
W8020174,W8020174,1382061.6,1590000,-207938.375,0.1308
W8019960,W8019960,1428128.9,1350000,78128.875,0.0579
W8019332,W8019332,1853163.0,1889000,-35837.0,0.019
W8014740,W8014740,2119458.2,2228000,-108541.75,0.0487
W8014238,W8014238,752615.5,999999,-247383.5,0.2474
W8013494,W8013494,1758882.8,1750000,8882.75,0.0051
W8009778,W8009778,915194.0,940800,-25606.0,0.0272
W8009394,W8009394,1424665.6,1370000,54665.625,0.0399
W8008614,W8008614,924009.94,859000,65009.9375,0.0757
W7400966,W7400966,1181316.1,1380000,-198683.875,0.144
W7400782,W7400782,1319237.1,1315000,4237.125,0.0032
E8020796,E8020796,771785.2,765000,6785.1875,0.0089
W7393040,W7393040,1422655.2,1410000,12655.25,0.009
S7208334,S7208334,821741.1,809000,12741.125,0.0157
N7389068,N7389068,842221.06,775000,67221.0625,0.0867
E8014544,E8014544,794242.56,850000,-55757.4375,0.0656
E7391904,E7391904,899534.5,899900,-365.5,0.0004
W7353402,W7353402,1835335.5,1850000,-14664.5,0.0079
E7342358,E7342358,840950.8,800000,40950.8125,0.0512
E7406230,E7406230,930800.3,1145000,-214199.6875,0.1871
N7389762,N7389762,1048928.5,1080000,-31071.5,0.0288
E7322996,E7322996,887472.5,870000,17472.5,0.0201
W7284880,W7284880,917192.75,923000,-5807.25,0.0063
N8029548,N8029548,1612990.5,1500000,112990.5,0.0753
E8016718,E8016718,891456.94,965000,-73543.0625,0.0762
E8016550,E8016550,1491630.4,1615000,-123369.625,0.0764
E8015262,E8015262,882868.25,881000,1868.25,0.0021
N8016636,N8016636,1670985.0,1600000,70985.0,0.0444
E7329466,E7329466,1370306.2,1320000,50306.25,0.0381
E8013982,E8013982,988543.4,1251000,-262456.625,0.2098
X6780012,X6780012,769151.75,775000,-5848.25,0.0075
W8026794,W8026794,794071.1,804000,-9928.875,0.0123
W8022648,W8022648,1086316.0,1147000,-60684.0,0.0529
W8020678,W8020678,1125406.0,1176000,-50594.0,0.043
W8017730,W8017730,965379.1,925000,40379.125,0.0437
W8015440,W8015440,701849.94,789000,-87150.0625,0.1105
W8010924,W8010924,6948718.5,6800000,148718.5,0.0219
W7329506,W7329506,1269846.8,1240000,29846.75,0.0241
W7291702,W7291702,1947959.9,1800000,147959.875,0.0822
N8014014,N8014014,1285486.0,1610000,-324514.0,0.2016
N7386102,N7386102,1617018.1,1683000,-65981.875,0.0392
N7350222,N7350222,1079520.0,1050000,29520.0,0.0281
E7392990,E7392990,923605.4,955000,-31394.625,0.0329
E7272806,E7272806,465214.56,425000,40214.5625,0.0946
W7283970,W7283970,868087.25,870000,-1912.75,0.0022
W7400976,W7400976,1434773.2,1390000,44773.25,0.0322
W7369796,W7369796,1071687.8,1035000,36687.75,0.0354
N6090656,N6090656,1369670.4,1360000,9670.375,0.0071
W7349594,W7349594,1358017.5,1344000,14017.5,0.0104
S7306828,S7306828,683308.9,675000,8308.875,0.0123
N7333126,N7333126,553212.5,535000,18212.5,0.034
N7273294,N7273294,1166092.2,1188000,-21907.75,0.0184
N7038978,N7038978,1760810.4,1690000,70810.375,0.0419
C7311888,C7311888,1462203.9,1440000,22203.875,0.0154
X7393348,X7393348,1432161.4,1280000,152161.375,0.1189
W8023024,W8023024,2154984.5,2200000,-45015.5,0.0205
W8019368,W8019368,993190.94,1010000,-16809.0625,0.0166
W8012418,W8012418,861511.3,830000,31511.3125,0.038
W7390616,W7390616,1189067.5,1160000,29067.5,0.0251
W7377724,W7377724,1023400.7,998000,25400.6875,0.0255
W7238198,W7238198,1379901.2,1230000,149901.25,0.1219
S7377906,S7377906,859409.06,880000,-20590.9375,0.0234
S7354042,S7354042,639863.56,638500,1363.5625,0.0021
S7318176,S7318176,475372.44,465000,10372.4375,0.0223
S7299386,S7299386,636053.3,617000,19053.3125,0.0309
N7365892,N7365892,1025069.06,1040000,-14930.9375,0.0144
S7292958,S7292958,846574.44,810000,36574.4375,0.0452
N8018948,N8018948,1177581.2,1450000,-272418.75,0.1879
N7385076,N7385076,1378120.9,1285000,93120.875,0.0725
N7366820,N7366820,498925.3,470000,28925.3125,0.0615
N7332858,N7332858,306917.28,280000,26917.28125,0.0961
N7278762,N7278762,775894.9,757500,18394.875,0.0243
N7253558,N7253558,689374.06,665000,24374.0625,0.0367
N7031076,N7031076,1077139.4,1050000,27139.375,0.0258
E8018224,E8018224,891891.2,850000,41891.1875,0.0493
E8014398,E8014398,936007.2,950000,-13992.8125,0.0147
E7404464,E7404464,1011935.44,1150000,-138064.5625,0.1201
E7402750,E7402750,1457869.5,1418000,39869.5,0.0281
E7387282,E7387282,1034367.4,1030000,4367.375,0.0042
W7329956,W7329956,948167.0,959000,-10833.0,0.0113
N7335206,N7335206,880025.7,875000,5025.6875,0.0057
W5792837,W5792837,1331146.2,1262500,68646.25,0.0544
C7404878,C7404878,1858471.0,1825000,33471.0,0.0183
N7378312,N7378312,1420618.1,1435000,-14381.875,0.01
W7237270,W7237270,1186542.9,1111000,75542.875,0.068
S8021302,S8021302,951950.5,1000000,-48049.5,0.048
C8010296,C8010296,2968805.8,3450000,-481194.25,0.1395
N8026274,N8026274,1564537.8,1695000,-130462.25,0.077
N8018378,N8018378,796912.94,875000,-78087.0625,0.0892
N8014196,N8014196,1357136.2,1370000,-12863.75,0.0094
N8013912,N8013912,989670.06,1270000,-280329.9375,0.2207
N8013162,N8013162,1077469.0,1300000,-222531.0,0.1712
N8008374,N8008374,1466799.8,1505000,-38200.25,0.0254
N8008364,N8008364,1571100.6,1866000,-294899.375,0.158
N8007534,N8007534,1086639.4,1093000,-6360.625,0.0058
N8007124,N8007124,957472.94,1380000,-422527.0625,0.3062
N7400354,N7400354,1570141.9,1650000,-79858.125,0.0484
N7399850,N7399850,626326.9,625000,1326.875,0.0021
S8007564,S8007564,708042.7,765000,-56957.3125,0.0745
N7258112,N7258112,1361337.5,1360000,1337.5,0.001
E8016408,E8016408,1925510.4,2301014,-375503.625,0.1632
E8023290,E8023290,649840.75,685000,-35159.25,0.0513
C8017044,C8017044,1279312.6,1500000,-220687.375,0.1471
E7350638,E7350638,814039.94,840000,-25960.0625,0.0309
E7378024,E7378024,1057403.0,1035000,22403.0,0.0216
E8015550,E8015550,1281359.6,1299000,-17640.375,0.0136
E8015646,E8015646,906640.4,925000,-18359.625,0.0198
C8024024,C8024024,1483069.1,1532060,-48990.875,0.032
E8016520,E8016520,601876.56,725000,-123123.4375,0.1698
E8020294,E8020294,687680.9,700000,-12319.125,0.0176
E8020618,E8020618,1167708.4,1500000,-332291.625,0.2215
E8021780,E8021780,675367.0,811000,-135633.0,0.1672
E8019742,E8019742,995814.7,1150000,-154185.3125,0.1341
W8012926,W8012926,1021929.3,1065000,-43070.6875,0.0404
N7373548,N7373548,881391.4,880000,1391.375,0.0016
N7349298,N7349298,1245845.6,1285000,-39154.375,0.0305
W8015080,W8015080,1060429.5,1030000,30429.5,0.0295
W8021186,W8021186,885006.7,850000,35006.6875,0.0412
N7341892,N7341892,1131976.0,1129000,2976.0,0.0026
N8024302,N8024302,769786.9,770000,-213.125,0.0003
E7231664,E7231664,1360023.6,1300000,60023.625,0.0462
E7040016,E7040016,889581.06,840000,49581.0625,0.059
N7320610,N7320610,1346927.1,1380000,-33072.875,0.024
N8023274,N8023274,1325189.8,1330000,-4810.25,0.0036
W8024470,W8024470,735976.7,775000,-39023.3125,0.0504
W8019134,W8019134,942100.94,941000,1100.9375,0.0012
W8013910,W8013910,1244914.6,1250000,-5085.375,0.0041
W8024062,W8024062,989414.06,987000,2414.0625,0.0024
W8022966,W8022966,1035027.7,999500,35527.6875,0.0355
C7317180,C7317180,1759979.6,1580000,179979.625,0.1139
W7306576,W7306576,846216.94,823000,23216.9375,0.0282
S7326492,S7326492,1005295.1,999555,5740.125,0.0057
E7405198,E7405198,1177772.6,1100000,77772.625,0.0707
X8012856,X8012856,679179.94,659000,20179.9375,0.0306
W7334368,W7334368,1267497.6,1250000,17497.625,0.014
N7401350,N7401350,1416071.1,1400000,16071.125,0.0115
W8019450,W8019450,2344143.0,2400000,-55857.0,0.0233
W8013606,W8013606,1002873.3,1080500,-77626.6875,0.0718
W7200392,W7200392,1349987.2,1370000,-20012.75,0.0146
W8021954,W8021954,1515214.8,1561000,-45785.25,0.0293
W8023826,W8023826,983797.7,995000,-11202.3125,0.0113
E8011758,E8011758,1081874.8,1170000,-88125.25,0.0753
W8019864,W8019864,702261.44,790000,-87738.5625,0.1111
N7374398,N7374398,1332596.2,1320000,12596.25,0.0095
W8013028,W8013028,894158.56,950000,-55841.4375,0.0588
W7232748,W7232748,1756555.0,1760000,-3445.0,0.002
C8010770,C8010770,1459690.5,1576000,-116309.5,0.0738
C8024256,C8024256,1487024.4,1507000,-19975.625,0.0133
E7405716,E7405716,1001628.56,985000,16628.5625,0.0169
E8009658,E8009658,822412.5,813000,9412.5,0.0116
